arabic_name,english_name,brand,exact_variant,image_filename,search_query,product_page_url,image_url,image_width,image_height,acquisition_method,identity_match,download_status,http_status,validation_status,blocked_source_url,blocked_http_status,alternate_source_attempted,alternate_source_type,alternate_source_url,alternate_source_result,notes
جود جيرل بلاك كارولينا هيريرا,Good Girl,Carolina Herrera,Good Girl EDP,carolina-herrera-good-girl.png,Carolina Herrera Good Girl official perfume transparent bottle image,https://www.carolinaherrera.com/us/en/p-fragrance/good-girl-eau-de-parfum,"https://medias.carolinaherrera.com/cdn-cgi/image/width=800,fit=contain,quality=90,format=auto/medias/sys_master/images/h2a/h6a/10703146778654/10703146713118/10703146713118.jpg",800,999,OFFICIAL_PAGE_IMAGE,true,DOWNLOADED,200,PENDING,,,false,,,,"Confirmed 'Good Girl Eau de Parfum', standard stiletto bottle."
جيفنشي ال انتريد,L'Interdit,Givenchy,L'Interdit EDP,givenchy-linterdit.png,Givenchy L'Interdit official perfume transparent bottle image,https://www.givenchybeauty.com/us/p/l-interdit-P069000.html,,,,MANUAL_REVIEW,,NOT_DOWNLOADED,403,PENDING,,,false,,,,BLOCKED: official page returned HTTP 403 (bot protection/Cloudflare). Not bypassed per source rules — requires manual acquisition or a licensed alternative.
توم فورد بلاك اوركيد,Black Orchid,Tom Ford,Black Orchid EDP,tom-ford-black-orchid.png,Tom Ford Black Orchid official perfume transparent bottle image,https://www.tomford.com/black-orchid-eau-de-parfum/8806600007.html,,,,MANUAL_REVIEW,,NOT_DOWNLOADED,403,PENDING,,,false,,,,BLOCKED: official page returned HTTP 403 (bot protection/Cloudflare). Not bypassed per source rules — requires manual acquisition or a licensed alternative.
سي باشن الاحمر,Sì Passione,Giorgio Armani,Sì Passione EDP,giorgio-armani-si-passione.png,Giorgio Armani Sì Passione official perfume transparent bottle image,https://www.armani.com/en-us/eau-de-parfum-si-passione-50-ml_cod38063312420499834.html,,,,MANUAL_REVIEW,,NOT_DOWNLOADED,,PENDING,https://www.armani.com/en-us/eau-de-parfum-si-passione-50-ml_cod38063312420499834.html,,true,NONE,,UNRESOLVED,"No working official page found across multiple URL patterns/locales (en-us, en-ca, en-gb, en-lu) — all 404 or redirect to homepage."
سي فلوري,Sì Fiori,Giorgio Armani,Sì Fiori EDP,giorgio-armani-si-fiori.png,Giorgio Armani Sì Fiori official perfume transparent bottle image,https://www.armani.com/en-lu/fragrance-si-fiori-30-ml_cod38063312420501357.html,,,,MANUAL_REVIEW,,NOT_DOWNLOADED,,PENDING,https://www.armani.com/en-lu/fragrance-si-fiori-30-ml_cod38063312420501357.html,,true,NONE,,UNRESOLVED,No working official page found across en-us/en-ca/en-gb/en-lu — all 404 or homepage redirect.
فيكتوريا سيكريت بمبشيل,Bombshell,Victoria's Secret,Bombshell EDP,victorias-secret-bombshell.png,Victoria's Secret Bombshell official perfume transparent bottle image,https://www.victoriassecret.com/us/vs/beauty-catalog/5000010457,,,,MANUAL_REVIEW,,NOT_DOWNLOADED,,PENDING,https://www.victoriassecret.com/us/vs/beauty-catalog/5000010457,,true,NONE,,UNRESOLVED,"Page title confirms correct product ('Bombshell Eau de Parfum 1.7 oz') but victoriassecret.com is JS-rendered client-side — static fetch returns only a loading shell, no image data extractable without a JS-capable browser."
فالنتينو دونا انتنس,Valentino Donna Born In Roma Intense,Valentino,Born In Roma Donna Intense,valentino-donna-born-in-roma-intense.png,Valentino Valentino Donna Born In Roma Intense official perfume transparent bottle image,https://www.valentino.com/en-us/product-born-in-roma-intense-eau-de-parfum-spray-100ml-8LD890200_000,https://valentino-cdn.thron.com/delivery/public/image/valentino/4db84195-6be9-4b5f-86eb-550f4c4d5d0d/ihqstx/std/500x0/Born-In-Roma-Intense-Eau-De-Parfum-Spray-100Ml,500,633,OFFICIAL_PAGE_IMAGE,true,DOWNLOADED,200,PENDING,,,false,,,,"Confirmed 'Born In Roma Intense Eau De Parfum Spray 100Ml', $185, product code 8LD890200_000."
فالنتينو اومو انتننس,Valentino Uomo Born In Roma Intense,Valentino,Born In Roma Uomo Intense,valentino-uomo-born-in-roma-intense.png,Valentino Valentino Uomo Born In Roma Intense official perfume transparent bottle image,https://www.valentino.com/en-us/product-born-in-roma-intense-eau-de-parfum-spray-100ml-8LD890000_000,,,,MANUAL_REVIEW,,NOT_DOWNLOADED,,PENDING,https://www.valentino.com/en-us/product-born-in-roma-intense-eau-de-parfum-spray-100ml-8LD890000_000,,true,NONE,,UNRESOLVED,REJECTED: the previously-found URL (8LD890000_000) is explicitly labeled 'for Unisex' in page metadata and sits outside both men's and women's fragrance nav sections — it is NOT the Uomo variant despite the product code. The correct men's-specific product page was not found. Do not use the unisex SKU image.
ديفوشن دولشي جابانا,Devotion,Dolce & Gabbana,Devotion EDP,dolce-gabbana-devotion.png,Dolce & Gabbana Devotion official perfume transparent bottle image,https://www.dolcegabbana.com/en-us/beauty/perfumes-for-her/devotion/devotion-eau-de-parfum---VT0063VT0009V000.html,https://www.dolcegabbana.com/dw/image/v2/BKDB_PRD/on/demandware.static/-/Sites-15/default/dw7dcffa34/images/zoom/VT0063VT000_9V000_0.jpg?sw=740&sh=944,740,944,OFFICIAL_PAGE_IMAGE,true,DOWNLOADED,200,PENDING,,,false,,,,"Confirmed 'Devotion Eau de Parfum' (base, not Intense)."
جادور,J'adore,Dior,J'adore EDP,dior-jadore.png,Dior J'adore official perfume transparent bottle image,https://www.dior.com/en_us/beauty/products/j%E2%80%99adore-eau-de-parfum-Y0998031.html,,,,MANUAL_REVIEW,,NOT_DOWNLOADED,403,PENDING,https://www.dior.com/en_us/beauty/products/j%E2%80%99adore-eau-de-parfum-Y0998031.html,403,true,AUTHORIZED_RETAILER,https://www.sephora.com/product/j-adore-eau-de-parfum-P6430,"IDENTITY_MATCH_ONLY — retailer page also blocks automated fetch, no verified image URL",Dior blocked (403); Sephora listing title-matched but Sephora page also blocked fetch — no verified image URL extracted.
